asset,method,alpha,MAE,RMSE,MAPE,bias,coverage_95,n_trials_used
gurkor,brownian_logprice_bridge,,0.027161797203276956,0.03722844585424528,0.003810723301961741,0.0006926405105252023,0.9462999999999999,200
gurkor,ridge_adjusted_bridge,0.1,0.019300159229556222,0.026491044473523663,0.0027248427543161476,0.0014776142858826595,0.9787,200
gurkor,ridge_adjusted_bridge,1.0,0.019302805588498312,0.026494991548860355,0.002725219975361616,0.0014769500784125385,0.9787,200
gurkor,ridge_adjusted_bridge,10.0,0.019329466892671402,0.02653486401173752,0.0027290179583540795,0.0014703608955958312,0.9787,200
gurkor,ridge_adjusted_bridge,100.0,0.019623552044440724,0.02696158763988184,0.002770566405962949,0.0014094911688198265,0.9788999999999999,200
guitars,brownian_logprice_bridge,,0.04542433190716261,0.06367905494060809,0.011290017315067829,-0.0007864467303270139,0.9683000000000002,200
guitars,ridge_adjusted_bridge,0.1,0.033610977328563774,0.04752416600112914,0.008424002830959813,-0.00024131384591299056,0.9834,200
guitars,ridge_adjusted_bridge,1.0,0.03361523343591332,0.04753066688958227,0.008425019981620716,-0.00024208310916610376,0.9833,200
guitars,ridge_adjusted_bridge,10.0,0.03365846515432817,0.04759607981610863,0.00843536760774244,-0.00024966046749871717,0.9832,200
guitars,ridge_adjusted_bridge,100.0,0.03411746313253891,0.04827611260111809,0.008545489973773615,-0.0003154386177894393,0.9828,200
slingshots,brownian_logprice_bridge,,0.03060294603702623,0.04184747945283877,0.011831041859078304,0.0011689579465070138,0.9477,200
slingshots,ridge_adjusted_bridge,0.1,0.02247613407727321,0.030501499186892402,0.008759420280191573,0.002038440485141077,0.9682999999999999,200
slingshots,ridge_adjusted_bridge,1.0,0.0224800762983476,0.030506554823274072,0.008760918021404086,0.002037453869490104,0.9682999999999999,200
slingshots,ridge_adjusted_bridge,10.0,0.022519740151083427,0.03055732442924659,0.008775977714984264,0.0020277123774737247,0.9681000000000001,200
slingshots,ridge_adjusted_bridge,100.0,0.022922349664379376,0.03107661145799721,0.008928777589665478,0.0019413018442941258,0.9671000000000001,200
stocks,brownian_logprice_bridge,,0.12778821496546558,0.16798097950094912,0.014640980359170441,-0.004497541010038335,0.9454,200
sugar,brownian_logprice_bridge,,0.040485004014352156,0.05319519942748444,0.013045480886967317,-0.00036389241500004257,0.9507000000000001,200
water,brownian_logprice_bridge,,0.015265018119343346,0.02003800149263865,0.0033476850286322667,-0.0003381137233816528,0.9499000000000001,200
water,ridge_adjusted_bridge,0.1,0.010779979211806921,0.014449546838846486,0.0023836938479079384,-0.0008726539041426388,0.9864,200
water,ridge_adjusted_bridge,1.0,0.010781353341857374,0.014451182710896654,0.0023839815072200826,-0.000872100918050317,0.9864,200
water,ridge_adjusted_bridge,10.0,0.010795145124202356,0.014467844336930156,0.0023868703417090783,-0.0008666381207610474,0.9867000000000001,200
water,ridge_adjusted_bridge,100.0,0.010954514086157491,0.01465701003788519,0.002420412917749681,-0.0008179249089708987,0.9865,200
tranquillity,brownian_logprice_bridge,,0.10711009688418467,0.14750873247560858,0.011434506562995592,-0.014048197836947796,0.9467000000000002,200
