day,original,filled,is_missing,is_interpolated,method_used,predictors_selected,uncertainty_95_log_half_width,lower_95,upper_95
2,6.169815688282065,6.169815688282065,False,False,,water,,,
3,6.1607238555865225,6.160723855586522,False,False,,water,,,
4,6.155412205778749,6.155412205778749,False,False,,water,,,
5,6.141726186560347,6.141726186560347,False,False,,water,,,
6,6.150854606443431,6.150854606443431,False,False,,water,,,
7,6.1538934945121575,6.1538934945121575,False,False,,water,,,
8,6.1538934945121575,6.1538934945121575,False,False,,water,,,
9,6.156930429112702,6.156930429112702,False,False,,water,,,
10,6.167544366682432,6.167544366682432,False,False,,water,,,
11,6.19020876651728,6.19020876651728,False,False,,water,,,
12,6.191715885818306,6.191715885818307,False,False,,water,,,
13,6.203755678233527,6.203755678233527,False,False,,water,,,
14,6.229987172066868,6.229987172066868,False,False,,water,,,
15,6.215765111194977,6.215765111194976,False,False,,water,,,
16,6.209764176405763,6.209764176405763,False,False,,water,,,
17,6.212765587576485,6.212765587576485,False,False,,water,,,
18,6.2309413155214575,6.230941315521458,False,False,,water,,,
19,6.227916824857156,6.227916824857156,False,False,,water,,,
20,6.241512004850918,6.241512004850918,False,False,,water,,,
21,6.249048243004912,6.249048243004912,False,False,,water,,,
22,6.235474469256599,6.235474469256599,False,False,,water,,,
23,6.239248820795763,6.239248820795763,False,False,,water,,,
24,6.227160403190201,6.227160403190201,False,False,,water,,,
25,6.219589594073592,6.219589594073592,False,False,,water,,,
26,6.218831852759712,6.218831852759712,False,False,,water,,,
27,6.194520330741631,6.194520330741631,False,False,,water,,,
28,6.185371397885815,6.185371397885814,False,False,,water,,,
29,6.204411853373277,6.204411853373277,False,False,,water,,,
30,6.212006761799651,6.21200676179965,False,False,,water,,,
31,6.225647200688498,6.225647200688497,False,False,,water,,,
32,6.2211047160603705,6.2211047160603705,False,False,,water,,,
33,6.2211047160603705,6.2211047160603705,False,False,,water,,,
34,6.230941315521457,6.230941315521457,False,False,,water,,,
35,6.224133518946599,6.224133518946598,False,False,,water,,,
36,6.221630765597267,6.221630765597266,False,False,,water,,,
37,6.223427865136214,6.223427865136213,False,False,,water,,,
38,6.229528544339016,6.229528544339016,False,False,,water,,,
39,6.237143466643893,6.237143466643893,False,False,,water,,,
40,6.236382519385208,6.236382519385208,False,False,,water,,,
41,6.233337520190879,6.233337520190879,False,False,,water,,,
42,6.219610981509748,6.2196109815097484,False,False,,water,,,
43,6.228766385053082,6.228766385053082,False,False,,water,,,
