day,original,filled,is_missing,is_interpolated,method_used,predictors_selected,uncertainty_95_log_half_width,lower_95,upper_95
2,3.897784056514299,3.8977840565142987,False,False,,gurkor,,,
3,3.8966940815418,3.8966940815418,False,False,,gurkor,,,
4,3.898328895144174,3.898328895144174,False,False,,gurkor,,,
5,3.90014430795644,3.9001443079564404,False,False,,gurkor,,,
6,3.902502700310964,3.9025027003109645,False,False,,gurkor,,,
7,3.901777238890841,3.901777238890841,False,False,,gurkor,,,
8,3.901777238890841,3.901777238890841,False,False,,gurkor,,,
9,3.907213923931632,3.9072139239316326,False,False,,gurkor,,,
10,3.9090239640537567,3.9090239640537563,False,False,,gurkor,,,
11,3.911194572148827,3.9111945721488266,False,False,,gurkor,,,
12,3.919140077173607,3.9191400771736076,False,False,,gurkor,,,
13,3.924365435893519,3.9243654358935194,False,False,,gurkor,,,
14,3.925265444193976,3.925265444193976,False,False,,gurkor,,,
15,3.9216637964465697,3.92166379644657,False,False,,gurkor,,,
16,3.923825301835075,3.9238253018350755,False,False,,gurkor,,,
17,3.933173954845492,3.933173954845492,False,False,,gurkor,,,
18,3.942851633789972,3.942851633789972,False,False,,gurkor,,,
19,3.9394500554307,3.9394500554307,False,False,,gurkor,,,
20,3.944819222666305,3.9448192226663044,False,False,,gurkor,,,
21,3.946070659381667,3.9460706593816672,False,False,,gurkor,,,
22,3.9540766118754367,3.9540766118754362,False,False,,gurkor,,,
23,3.9535435385864495,3.95354353858645,False,False,,gurkor,,,
24,3.95034313077974,3.95034313077974,False,False,,gurkor,,,
25,3.957628044089729,3.957628044089729,False,False,,gurkor,,,
26,3.952299336670921,3.952299336670921,False,False,,gurkor,,,
27,3.944466928206544,3.9444669282065443,False,False,,gurkor,,,
28,3.9469612544110704,3.9469612544110704,False,False,,gurkor,,,
29,3.944823386306808,3.944823386306808,False,False,,gurkor,,,
30,3.9398291491143,3.9398291491143,False,False,,gurkor,,,
31,3.9378648695161074,3.9378648695161074,False,False,,gurkor,,,
32,3.936792906134104,3.936792906134104,False,False,,gurkor,,,
33,3.9316063812422497,3.9316063812422493,False,False,,gurkor,,,
34,3.9283826712453487,3.928382671245349,False,False,,gurkor,,,
35,3.9298158565140473,3.929815856514047,False,False,,gurkor,,,
36,3.930415191870444,3.9304151918704435,False,False,,gurkor,,,
37,3.930180295717664,3.930180295717664,False,False,,gurkor,,,
38,3.9291113176187302,3.9291113176187302,False,False,,gurkor,,,
39,3.926972224142693,3.9269722241426934,False,False,,gurkor,,,
40,3.9228680470189983,3.9228680470189983,False,False,,gurkor,,,
41,3.916790737146451,3.9167907371464508,False,False,,gurkor,,,
42,3.921617838924424,3.921617838924424,False,False,,gurkor,,,
43,3.921617838924424,3.921617838924424,False,False,,gurkor,,,
44,3.930536537599597,3.930536537599597,False,False,,gurkor,,,
45,3.935163860269924,3.9351638602699235,False,False,,gurkor,,,
46,3.934630300161662,3.9346303001616616,False,False,,gurkor,,,
47,3.934630300161662,3.9346303001616616,False,False,,gurkor,,,
48,3.934630300161662,3.9346303001616616,False,False,,gurkor,,,
49,3.9419141486893543,3.9419141486893547,False,False,,gurkor,,,
50,3.93765256241565,3.93765256241565,False,False,,gurkor,,,
51,3.937830248463205,3.937830248463205,False,False,,gurkor,,,
52,3.938363243953984,3.9383632439539835,False,False,,gurkor,,,
53,3.939428953154655,3.939428953154655,False,False,,gurkor,,,
54,3.934452425846986,3.9344524258469855,False,False,,gurkor,,,
55,3.927685423915664,3.927685423915664,False,False,,gurkor,,,
56,3.9381855892306743,3.9381855892306747,False,False,,gurkor,,,
57,3.928041960551099,3.928041960551099,False,False,,gurkor,,,
58,3.919830926246058,3.919830926246058,False,False,,gurkor,,,
59,3.922153705956364,3.922153705956364,False,False,,gurkor,,,
60,3.916969656889509,3.916969656889509,False,False,,gurkor,,,
61,3.90783113871594,3.9078311387159403,False,False,,gurkor,,,
62,3.90944584062209,3.90944584062209,False,False,,gurkor,,,
63,3.90944584062209,3.90944584062209,False,False,,gurkor,,,
64,3.912135081670909,3.9121350816709093,False,False,,gurkor,,,
65,3.917148565987543,3.917148565987543,False,False,,gurkor,,,
66,3.909087093055273,3.9090870930552732,False,False,,gurkor,,,
67,3.9096251983260126,3.909625198326013,False,False,,gurkor,,,
68,3.908728302598004,3.9087283025980035,False,False,,gurkor,,,
69,3.911238935595715,3.9112389355957147,False,False,,gurkor,,,
70,3.9176852294290345,3.9176852294290345,False,False,,gurkor,,,
71,3.916790737146452,3.9167907371464517,False,False,,gurkor,,,
72,3.91088040226849,3.9108804022684898,False,False,,gurkor,,,
73,3.9103425219865,3.9103425219865,False,False,,gurkor,,,
74,3.9053176513756553,3.9053176513756553,False,False,,gurkor,,,
75,3.901003906668447,3.901003906668447,False,False,,gurkor,,,
76,3.901003906668447,3.901003906668447,False,False,,gurkor,,,
77,3.897404367168343,3.8974043671683436,False,False,,gurkor,,,
78,3.893980789032404,3.893980789032404,False,False,,gurkor,,,
79,3.9033412892137855,3.903341289213786,False,False,,gurkor,,,
80,3.899024695608396,3.8990246956083956,False,False,,gurkor,,,
81,3.90567685000128,3.90567685000128,False,False,,gurkor,,,
82,3.899744560113131,3.8997445601131306,False,False,,gurkor,,,
83,3.899744560113131,3.8997445601131306,False,False,,gurkor,,,
84,3.894701868107412,3.894701868107412,False,False,,gurkor,,,
85,3.898664698426959,3.898664698426959,False,False,,gurkor,,,
86,3.897944574133881,3.897944574133881,False,False,,gurkor,,,
87,3.8919969241761168,3.8919969241761163,False,False,,gurkor,,,
88,3.8907337785948783,3.890733778594879,False,False,,gurkor,,,
89,3.8907337785948783,3.890733778594879,False,False,,gurkor,,,
90,3.8907337785948783,3.890733778594879,False,False,,gurkor,,,
91,3.8907337785948783,3.890733778594879,False,False,,gurkor,,,
92,3.902560511350429,3.902560511350429,False,False,,gurkor,,,
93,3.907028163570152,3.907028163570152,False,False,,gurkor,,,
94,3.9054205756653086,3.905420575665308,False,False,,gurkor,,,
95,3.905063216834476,3.905063216834476,False,False,,gurkor,,,
96,3.90363335534182,3.90363335534182,False,False,,gurkor,,,
97,3.9111325344119927,3.9111325344119927,False,False,,gurkor,,,
98,3.912024046822796,3.912024046822796,False,False,,gurkor,,,
99,3.9097055637189904,3.9097055637189904,False,False,,gurkor,,,
100,3.9082779142933752,3.908277914293375,False,False,,gurkor,,,
101,3.9132717197793214,3.913271719779322,False,False,,gurkor,,,
102,3.9116674736183072,3.911667473618307,False,False,,gurkor,,,
103,3.918613030392503,3.9186130303925024,False,False,,gurkor,,,
104,3.920213575452697,3.920213575452697,False,False,,gurkor,,,
105,3.921635567925127,3.921635567925127,False,False,,gurkor,,,
106,3.913984443167607,3.913984443167607,False,False,,gurkor,,,
107,3.9102407572198734,3.9102407572198734,False,False,,gurkor,,,
108,3.9080994103472695,3.9080994103472695,False,False,,gurkor,,,
109,3.9132717197793214,3.913271719779322,False,False,,gurkor,,,
110,3.913449916477647,3.913449916477647,False,False,,gurkor,,,
111,3.921990961115498,3.921990961115498,False,False,,gurkor,,,
112,3.9253651064170447,3.9253651064170447,False,False,,gurkor,,,
113,3.9280262391248417,3.9280262391248417,False,False,,gurkor,,,
114,3.926074971544727,3.926074971544727,False,False,,gurkor,,,
115,3.929976244922389,3.929976244922389,False,False,,gurkor,,,
116,3.926607260694732,3.9266072606947326,False,False,,gurkor,,,
117,3.929444550165965,3.9294445501659645,False,False,,gurkor,,,
118,3.929090034925899,3.929090034925899,False,False,,gurkor,,,
119,3.926607260694732,3.9266072606947326,False,False,,gurkor,,,
120,3.922346312362196,3.922346312362196,False,False,,gurkor,,,
121,3.927139455870848,3.9271394558708477,False,False,,gurkor,,,
122,3.927848903336735,3.927848903336735,False,False,,gurkor,,,
123,3.929090034925899,3.929090034925899,False,False,,gurkor,,,
124,3.927671557118981,3.9276715571189804,False,False,,gurkor,,,
125,3.922879260617815,3.922879260617815,False,False,,gurkor,,,
126,3.928558183928246,3.9285581839282457,False,False,,gurkor,,,
127,3.927671557118981,3.9276715571189804,False,False,,gurkor,,,
128,3.932279173551568,3.9322791735515685,False,False,,gurkor,,,
129,3.939177441443856,3.9391774414438556,False,False,,gurkor,,,
130,3.940767116269637,3.9407671162696367,False,False,,gurkor,,,
131,3.941473370362436,3.9414733703624365,False,False,,gurkor,,,
132,3.946236280157657,3.946236280157657,False,False,,gurkor,,,
133,3.944120356291752,3.9441203562917524,False,False,,gurkor,,,
134,3.9483507272294287,3.9483507272294283,False,False,,gurkor,,,
135,3.949583473829655,3.9495834738296547,False,False,,gurkor,,,
136,3.949583473829655,3.9495834738296547,False,False,,gurkor,,,
137,3.950463700356309,3.9504637003563094,False,False,,gurkor,,,
138,3.9455311364315513,3.9455311364315513,False,False,,gurkor,,,
139,3.9483507272294287,3.9483507272294283,False,False,,gurkor,,,
140,3.946060009613528,3.9460600096135274,False,False,,gurkor,,,
141,3.946236280157656,3.946236280157656,False,False,,gurkor,,,
142,3.9435911442414375,3.9435911442414375,False,False,,gurkor,,,
143,3.945354824848864,3.945354824848864,False,False,,gurkor,,,
144,3.945002170890501,3.9450021708905014,False,False,,gurkor,,,
145,3.95169558846754,3.95169558846754,False,False,,gurkor,,,
146,3.9499355951014583,3.9499355951014583,False,False,,gurkor,,,
147,3.955036765868177,3.9550367658681767,False,False,,gurkor,,,
148,3.955036765868177,3.9550367658681767,False,False,,gurkor,,,
149,3.961006555911769,3.9610065559117693,False,False,,gurkor,,,
150,3.962234176263964,3.9622341762639635,False,False,,gurkor,,,
151,3.964512729139511,3.9645127291395115,False,False,,gurkor,,,
